nist_level,test_time,KEM,SIG,connections/s
1,30,mlkem512,mldsa44,713.84 
1,30,mlkem512,rsa:3072,1004.93 
1,30,mlkem512,ed25519,951.04 
1,30,X25519,mldsa44,859.80 
1,30,X25519,rsa:3072,1281.55 
1,30,X25519,ed25519,1167.00 
1,30,P-256,mldsa44,850.11 
1,30,P-256,rsa:3072,1164.23 
1,30,P-256,ed25519,1059.46 
3,30,mlkem768,mldsa65,574.18 
3,30,mlkem768,rsa:7680,647.20 
3,30,mlkem768,ed448,681.35 
3,30,X448,mldsa65,655.58 
3,30,X448,rsa:7680,744.14 
3,30,X448,ed448,744.48 
3,30,P-384,mldsa65,561.95 
3,30,P-384,rsa:7680,632.56 
3,30,P-384,ed448,654.90 
5,30,mlkem1024,mldsa87,574.71 
5,30,mlkem1024,rsa:15360,442.11 
5,30,P-521,mldsa87,550.16 
5,30,P-521,rsa:15360,364.10 
