nist_level,test_time,KEM,SIG,connections/s
1,1,mlkem512,mldsa44,670.00 
1,1,mlkem512,rsa:3072,873.68 
1,1,mlkem512,ed25519,813.27 
1,1,X25519,mldsa44,801.28 
1,1,X25519,rsa:3072,1100.00 
1,1,X25519,ed25519,1071.05 
1,1,P-256,mldsa44,749.40 
1,1,P-256,rsa:3072,1111.43 
1,1,P-256,ed25519,950.43 
3,1,mlkem768,mldsa65,515.38 
3,1,mlkem768,rsa:7680,600.00 
3,1,mlkem768,ed448,548.00 
3,1,X448,mldsa65,593.02 
3,1,X448,rsa:7680,716.67 
3,1,X448,ed448,702.08 
3,1,P-384,mldsa65,520.43 
3,1,P-384,rsa:7680,575.00 
3,1,P-384,ed448,580.61 
5,1,mlkem1024,mldsa87,495.70 
5,1,mlkem1024,rsa:15360,300.00 
5,1,P-521,mldsa87,507.06 
5,1,P-521,rsa:15360,300.00 
