nist_level,test_time,KEM,SIG,connections/s
1,1,mlkem512,mldsa44,1588.71 
1,1,mlkem512,rsa:3072,2260.00 
1,1,mlkem512,ed25519,1912.26 
1,1,X25519,mldsa44,1506.06 
1,1,X25519,rsa:3072,1692.59 
1,1,X25519,ed25519,1667.62 
1,1,P-256,mldsa44,1512.86 
1,1,P-256,rsa:3072,1781.25 
1,1,P-256,ed25519,1643.27 
3,1,mlkem768,mldsa65,1308.06 
3,1,mlkem768,rsa:7680,1600.00 
3,1,mlkem768,ed448,1473.40 
3,1,X448,mldsa65,898.68 
3,1,X448,rsa:7680,1025.00 
3,1,X448,ed448,898.98 
3,1,P-384,mldsa65,380.21 
3,1,P-384,rsa:7680,390.00 
3,1,P-384,ed448,384.54 
5,1,mlkem1024,mldsa87,1044.93 
5,1,mlkem1024,rsa:15360,900.00 
5,1,P-521,mldsa87,188.42 
5,1,P-521,rsa:15360,157.14 
