nist_level,test_time,KEM,SIG,connections/s
1,1,mlkem512,mldsa44,1783.64 
1,1,mlkem512,rsa:3072,1984.00 
1,1,mlkem512,ed25519,1783.33 
1,1,X25519,mldsa44,1448.78 
1,1,X25519,rsa:3072,1244.00 
1,1,X25519,ed25519,1447.57 
1,1,P-256,mldsa44,1370.45 
1,1,P-256,rsa:3072,1324.14 
1,1,P-256,ed25519,1411.54 
3,1,mlkem768,mldsa65,1367.95 
3,1,mlkem768,rsa:7680,1133.33 
3,1,mlkem768,ed448,1190.32 
3,1,X448,mldsa65,777.17 
3,1,X448,rsa:7680,700.00 
3,1,X448,ed448,804.21 
3,1,P-384,mldsa65,730.85 
3,1,P-384,rsa:7680,560.00 
3,1,P-384,ed448,592.55 
5,1,mlkem1024,mldsa87,1143.68 
5,1,mlkem1024,rsa:15360,400.00 
5,1,P-521,mldsa87,686.36 
5,1,P-521,rsa:15360,450.00 
